MAPPED_TRAIT,MAPPED_TRAIT_URI,MAPPED_TRAIT_DESCRIPTION
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
"level of methylmalonyl-CoA epimerase, mitochondrial in blood serum",http://purl.obolibrary.org/obo/OBA_2042312,Ontology not covered
"level of methylmalonyl-CoA epimerase, mitochondrial in blood serum",http://purl.obolibrary.org/obo/OBA_2042312,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of cell surface glycoprotein MUC18 in blood serum,http://purl.obolibrary.org/obo/OBA_2040245,Ontology not covered
level of mast cell-expressed membrane protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042313,Ontology not covered
level of multiple coagulation factor deficiency protein 2 in blood serum,http://purl.obolibrary.org/obo/OBA_2044981,Ontology not covered
level of multiple coagulation factor deficiency protein 2 in blood serum,http://purl.obolibrary.org/obo/OBA_2044981,Ontology not covered
level of multiple coagulation factor deficiency protein 2 in blood serum,http://purl.obolibrary.org/obo/OBA_2044981,Ontology not covered
level of multiple coagulation factor deficiency protein 2 in blood serum,http://purl.obolibrary.org/obo/OBA_2044981,Ontology not covered
level of multiple coagulation factor deficiency protein 2 in blood serum,http://purl.obolibrary.org/obo/OBA_2044981,Ontology not covered
level of multiple coagulation factor deficiency protein 2 in blood serum,http://purl.obolibrary.org/obo/OBA_2044981,Ontology not covered
level of multiple coagulation factor deficiency protein 2 in blood serum,http://purl.obolibrary.org/obo/OBA_2044981,Ontology not covered
level of multiple coagulation factor deficiency protein 2 in blood serum,http://purl.obolibrary.org/obo/OBA_2044981,Ontology not covered
level of multiple coagulation factor deficiency protein 2 in blood serum,http://purl.obolibrary.org/obo/OBA_2044981,Ontology not covered
level of multiple coagulation factor deficiency protein 2 in blood serum,http://purl.obolibrary.org/obo/OBA_2044981,Ontology not covered
level of malignant T cell-amplified sequence 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042316,Ontology not covered
level of malignant T cell-amplified sequence 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042316,Ontology not covered
level of malignant T cell-amplified sequence 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042316,Ontology not covered
level of malignant T cell-amplified sequence 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042316,Ontology not covered
level of malignant T cell-amplified sequence 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042316,Ontology not covered
level of malignant T cell-amplified sequence 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2042316,Ontology not covered
